id1,id2,tstart,tend
1332,1330,5389000,6080000
1336,1335,631000,2261000
1341,1340,0,785000
1340,1341,2284000,2929000
1341,1340,4800000,5848000
1345,1346,5562000,6284000
1350,1351,5989000,7718000
1358,1355,819000,1717000
1359,1355,3993000,5583000
1362,1360,2172000,3049000
1368,1365,3008000,3873000
1369,1365,6632000,7261000
1373,1370,2287000,3338000
1373,1370,6407000,7270000
1377,1375,0,1346000
1377,1375,3752000,4356000
1375,1376,6504000,7127000
1380,1381,3740000,4827000
1387,1385,1842000,3069000
1389,1385,5997000,7184000
1391,1390,1818000,2454000
1390,1391,6247000,7629000
1396,1395,1000,638000
1397,1395,2301000,3202000
1396,1395,6015000,6857000
1400,1401,7194000,7864000
1407,1405,6834000,8181000
1412,1410,0,888000
1415,1416,0,1147000
1420,1421,1113000,2173000
1420,1421,6010000,6881000
1428,1425,853000,1620000
1428,1425,3322000,4316000
1429,1425,4854000,5778000
1433,1430,0,740000
1433,1430,760000,1544000
1435,1436,6508000,7479000
1442,1440,929000,1591000
1449,1445,1788000,2538000
1454,1450,5345000,6349000
1456,1455,1508000,2534000
1463,1460,3155000,3949000
1464,1460,5548000,6547000
1462,1460,6841000,7441000
1466,1465,1039000,1968000
1467,1465,2291000,4019000
1471,1470,4527000,5296000
1472,1470,6452000,7265000
1476,1475,5317000,6008000
1481,1480,0,1191000
1489,1485,1958000,3070000
1489,1485,3654000,4332000
1489,1485,4559000,5758000
1489,1485,7098000,8176000
1491,1490,6114000,6918000
1499,1495,1432000,2442000
1500,1501,6369000,7533000
1505,1506,1770000,2607000
1514,1510,6606000,7770000
1515,1516,0,742000
1517,1515,4328000,5264000
1515,1516,6499000,8201000
1520,1521,780000,1497000
1520,1521,1977000,3309000
1522,1520,5406000,6494000
1526,1525,0,634000
1528,1525,3759000,4870000
1528,1525,5129000,6193000
1527,1525,7140000,8006000
1531,1530,5674000,6488000
1536,1535,0,1041000
1535,1536,2626000,3388000
1541,1540,5397000,6503000
1540,1541,6654000,7492000
1545,1546,4441000,5065000
1548,1545,5503000,6253000
1552,1550,0,904000
1553,1550,1977000,2779000
1553,1550,4135000,5252000
1555,1556,0,663000
1555,1556,4292000,5143000
1557,1555,6347000,7024000
1564,1560,0,916000
1560,1561,1701000,2389000
1562,1560,2833000,4100000
1564,1560,6334000,6974000
1562,1560,7009000,8218000
1565,1566,0,796000
1565,1566,3755000,4767000
1572,1570,0,767000
1571,1570,2363000,3204000
1571,1570,3244000,4168000
1571,1570,5892000,6731000
1575,1576,3185000,3919000
1575,1576,5509000,6166000
1580,1581,4957000,5865000
1582,1580,6931000,8078000
1586,1585,906000,2091000
1586,1585,4152000,5609000
1594,1590,2935000,4378000
1596,1595,1476000,2447000
1604,1600,956000,1636000
1604,1600,3612000,5365000
1600,1601,7114000,8406000
1607,1605,0,728000
1609,1605,1313000,2365000
1607,1605,4408000,5196000
1612,1610,0,910000
1612,1610,3072000,4152000
1617,1615,3931000,4544000
1624,1620,1201000,1870000
1623,1620,2780000,3631000
1620,1621,7154000,8014000
1629,1625,5071000,6219000
1627,1625,6240000,6874000
1634,1630,4048000,4951000
1631,1630,5075000,6325000
1638,1635,3282000,3905000
1636,1635,6452000,7298000
1640,1641,0,705000
1641,1640,827000,1511000
1641,1640,2387000,3792000
1644,1640,6395000,7009000
1649,1645,2044000,2652000
1645,1646,3870000,5186000
1645,1646,5492000,6225000
1652,1650,5868000,7447000
1655,1656,0,1452000
1658,1655,6213000,7321000
1662,1660,3623000,5108000
1662,1660,6101000,6976000
1666,1665,2776000,3893000
1669,1665,4706000,5796000
1679,1675,1005000,1654000
1677,1675,3226000,4162000
1683,1680,3476000,4673000
1680,1681,4862000,5660000
1680,1681,6885000,7869000
1686,1685,1660000,2753000
1685,1686,3050000,4042000
1689,1685,4121000,5593000
1687,1685,6428000,7688000
1691,1690,2947000,3815000
1690,1691,6440000,7336000
1696,1695,0,749000
1698,1695,5457000,6603000
